Fighter,Current ELO,Peak ELO,Number of Fights,Average Performance,Weight Classes,ELO History,Performance History
Tito Ortiz,1078,1114,27,0.028,"Light Heavyweight, Lightweight, Middleweight","1000, 1017, 1000, 986, 971, 989, 1009, 995, 978, 964, 987, 1005, 993, 1012, 1029, 1046, 1061, 1078, 1094, 1075, 1058, 1070, 1084, 1100, 1114, 1099, 1096, 1078","0.038, 0.013999999999999995, -0.064, -0.005, 0.040999999999999995, 0.08199999999999999, -0.012999999999999998, -0.095, 0.024, 0.14800000000000002, -0.025999999999999995, 0.11900000000000001, 0.14, 0.064, 0.027000000000000003, 0.052000000000000005, 0.125, 0.152, -0.192, -0.06, 0.07400000000000001, 0.05800000000000001, 0.063, 0.031, -0.05800000000000001, 0.055, -0.035"
Ken Shamrock,1035,1051,15,0.022,"Light Heavyweight, Open Weight, Heavyweight","1000, 983, 969, 988, 973, 992, 1008, 1023, 1007, 1024, 1030, 1049, 1035, 1036, 1051, 1035","-0.038, 0.056999999999999995, 0.071, -0.03, 0.077, 0.051, 0.027000000000000003, -0.152, 0.057999999999999996, 0.027000000000000003, 0.06, -0.031, 0.075, 0.076, 0.002"
Kendall Grove,1001,1029,13,-0.021,Middleweight,"1000, 1017, 998, 1014, 1029, 1010, 1026, 1012, 1026, 1007, 1023, 1002, 983, 1001","0.057999999999999996, -0.154, 0.011999999999999993, 0.0020000000000000018, -0.07300000000000001, -0.042, 0.10400000000000001, -0.025999999999999995, -0.11699999999999999, 0.09300000000000001, -0.08800000000000001, -0.098, 0.054000000000000006"
Chris Price,968,1000,2,-0.039,Middleweight,"1000, 983, 968","-0.057999999999999996, -0.02"
Jason MacDonald,970,1019,14,-0.018,Middleweight,"1000, 1017, 1000, 984, 1000, 1014, 1001, 1018, 1003, 1015, 1003, 1019, 1003, 987, 970","0.043, -0.042, -0.018000000000000002, 0, 0.003999999999999999, -0.033, 0.0029999999999999983, -0.066, -0.021, -0.03300000000000001, 0.019000000000000003, -0.035, -0.023000000000000003, -0.054000000000000006"
Ed Herman,1043,1043,26,-0.006,"Middleweight, Light Heavyweight","1000, 983, 967, 985, 969, 952, 973, 975, 959, 946, 930, 916, 936, 953, 942, 963, 982, 969, 990, 1005, 1020, 1002, 984, 998, 1012, 1029, 1043","-0.043, -0.07, 0.05, -0.011999999999999993, -0.128, 0.11199999999999999, -0.052000000000000005, -0.066, -0.061, -0.064, -0.07200000000000001, 0.081, 0.014000000000000004, -0.09, 0.165, 0.016, 0.149, 0.07, 0.019, 0.02, -0.196, 0.0030000000000000005, -0.079, -0.011999999999999997, 0.08, 0.005999999999999998"
Matt Hamill,1069,1087,15,0.027,Light Heavyweight,"1000, 1017, 1031, 1047, 1061, 1075, 1055, 1037, 1054, 1068, 1056, 1041, 1055, 1073, 1087, 1069","0.049, -0.059000000000000004, 0.052000000000000005, 0.044000000000000004, 0.064, -0.023000000000000003, -0.07400000000000001, 0.188, 0.018000000000000002, 0.129, -0.08800000000000001, 0.026000000000000002, 0.059000000000000004, 0.033, -0.015999999999999997"
Seth Petruzelli,939,1000,4,-0.011,Light Heavyweight,"1000, 983, 968, 953, 939","-0.049, 0.040999999999999995, 0.005, -0.039"
Nate Marquardt,1052,1072,25,0.037,"Middleweight, Welterweight","1000, 1018, 1035, 1017, 1001, 1016, 999, 982, 966, 952, 936, 924, 944, 933, 955, 943, 966, 987, 1005, 1028, 1044, 1062, 1043, 1057, 1072, 1052","0.109, 0.051, -0.08800000000000001, 0.096, -0.0029999999999999983, -0.05, -0.055999999999999994, -0.04, -0.061000000000000006, -0.109, 0.04, 0.1, -0.057, 0.087, 0.012000000000000002, 0.071, 0.14100000000000001, 0.098, 0.275, 0.098, 0.012000000000000002, -0.0010000000000000009, 0.131, 0.051, 0.012"
Crafton Wallace,968,1000,2,-0.088,Middleweight,"1000, 982, 968","-0.109, -0.068"
