Event,Fighter 1,Fighter 2,Result,KDs (Fighter 1),KDs (Fighter 2),STR (Fighter 1),STR (Fighter 2),TDs (Fighter 1),TDs (Fighter 2),Subs (Fighter 1),Subs (Fighter 2),Weight Class,Method,Round,Time
UFC 308: Topuria vs. Holloway,Ilia Topuria,Max Holloway,Draw,0,0,0,0,0,0,0,0,Featherweight,,,
UFC 308: Topuria vs. Holloway,Robert Whittaker,Khamzat Chimaev,Draw,0,0,0,0,0,0,0,0,Middleweight,,,
UFC 308: Topuria vs. Holloway,Lerone Murphy,Dan Ige,Draw,0,0,0,0,0,0,0,0,Featherweight,,,
UFC 308: Topuria vs. Holloway,Magomed Ankalaev,Aleksandar Rakic,Draw,0,0,0,0,0,0,0,0,Light Heavyweight,,,
UFC 308: Topuria vs. Holloway,Shara Magomedov,Armen Petrosyan,Draw,0,0,0,0,0,0,0,0,Middleweight,,,
UFC 308: Topuria vs. Holloway,Geoff Neal,Rafael Dos Anjos,Draw,0,0,0,0,0,0,0,0,Welterweight,,,
UFC 308: Topuria vs. Holloway,Mateusz Rebecki,Myktybek Orolbai,Draw,0,0,0,0,0,0,0,0,Lightweight,,,
UFC 308: Topuria vs. Holloway,Said Nurmagomedov,Daniel Santos,Draw,0,0,0,0,0,0,0,0,Bantamweight,,,
UFC 308: Topuria vs. Holloway,Abus Magomedov,Brunno Ferreira,Draw,0,0,0,0,0,0,0,0,Middleweight,,,
UFC 308: Topuria vs. Holloway,Kennedy Nzechukwu,Chris Barnett,Draw,0,0,0,0,0,0,0,0,Heavyweight,,,
UFC 308: Topuria vs. Holloway,Farid Basharat,Victor Hugo,Draw,0,0,0,0,0,0,0,0,Bantamweight,,,
UFC 308: Topuria vs. Holloway,Ismail Naurdiev,Bruno Silva,Draw,0,0,0,0,0,0,0,0,Middleweight,,,
UFC 308: Topuria vs. Holloway,Rinat Fakhretdinov,Carlos Leal,Draw,0,0,0,0,0,0,0,0,Welterweight,,,
UFC 308: Topuria vs. Holloway,Ibo Aslan,Rafael Cerqueira,Draw,0,0,0,0,0,0,0,0,Light Heavyweight,,,
UFC Fight Night: Hernandez vs. Pereira,Anthony Hernandez,Michel Pereira,Anthony Hernandez,0,0,152,24,10,0,0,1,Middleweight,"KO/TKO

      

      
        Elbows",5,2:22
UFC Fight Night: Hernandez vs. Pereira,Rob Font,Kyler Phillips,Rob Font,0,0,61,38,0,4,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Charles Johnson,Sumudaerji,Charles Johnson,1,0,65,75,2,0,0,2,Flyweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Cameron Smotherman,Jake Hadley,Cameron Smotherman,0,0,96,60,0,1,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Darren Elkins,Daniel Pineda,Darren Elkins,0,0,39,31,3,0,0,2,Featherweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Asu Almabayev,Matheus Nicolau,Asu Almabayev,1,0,22,16,1,0,0,1,Flyweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Jean Matsumoto,Brad Katona,Jean Matsumoto,0,0,89,89,1,3,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Joselyne Edwards,Tamires Vidal,Joselyne Edwards,0,0,81,34,4,0,2,0,Women's Bantamweight,"SUB

      

      
        Rear Naked Choke",3,4:33
UFC Fight Night: Hernandez vs. Pereira,Elise Reed,Jessica Penne,Elise Reed,0,0,117,54,0,1,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Melissa Martinez,Alice Ardelean,Melissa Martinez,0,0,72,92,0,0,0,0,Women's Strawweight,U-DEC,3,5:00
